house;fragrance;sample_ml;sample_cost;shipping_cost;amount;order_date;shipping_date;arrival_date;rating;bottle_ml;bottle_cost
Montale;Honey Aoud;2;4;3,9;1;2019-11-16;2019-11-25;2019-11-27;2;139;100
Montale;Cuir dArabie;2;4;3,9;1;2019-11-16;2019-11-25;2019-11-27;;128;100
Histoire de Parfums;Ernest Hemingway;2;4;3,9;1;2019-11-16;2019-11-25;2019-11-27;4;120;155
Imaginary Authors;A City on Fire;2;6;3,9;1;2019-11-16;2019-11-25;2019-11-27;3;50;94
MDCI Paris;Invasion Barbare;2;9;3,9;1;2020-01-23;2020-02-04;2020-02-05;4;75;230
Maison Margiela;Music Festival;2;4;3,9;1;2020-01-23;2020-02-04;2020-02-05;2;100;96
Penhaligon's;Sartorial;2;4;3,9;1;2020-01-23;2020-02-04;2020-02-05;4;50;124
Penhaligon's;Lothair;2;6;3,9;1;2020-01-23;2020-02-04;2020-02-05;3;100;129
Etat Libre d'Orange;Je suis un homme;2;4;3,9;1;2020-01-23;2020-02-04;2020-02-05;3;50;95
Serge Lutens;Un bois vanille;2;5;3,9;1;2020-01-23;2020-02-04;2020-02-05;4;100;186
Penhaligon's;Alizarin;2;6;3,9;1;2020-01-23;2020-02-04;2020-02-05;4;100;195
Imaginary Authors;Saint Julep;2;6;3,9;1;2020-04-09;2020-04-24;2020-04-28;2;50;94
Frederic Malle;Geranium Pour Monsieur;2;6;3,9;1;2020-04-09;2020-04-24;2020-04-28;3;50;160
Diptyque;Eau de Minthe;2;5;3,9;1;2020-04-09;2020-04-24;2020-04-28;2;75;130
Atelier Cologne;Cedrat Enivrant;2;4;3,9;1;2020-04-09;2020-04-24;2020-04-28;2;100;110
Imaginary Authors;Telegrama;2;6;3,9;1;2020-04-09;2020-04-24;2020-04-28;1;50;94
Penhaligon's;Endymion;2;5;3,9;1;2020-06-28;2020-07-15;2020-07-17;4;50;124
Maison Margiela;Soul of the Forest;2;4;3,9;1;2020-06-28;2020-07-15;2020-07-17;4;100;91
Etat Libre d'Orange;Remarkable People;2;4;3,9;1;2020-06-28;2020-07-15;2020-07-17;3;100;140
DS & Durga;Mississippi Medicine;2;10;3,9;1;2020-06-28;2020-07-15;2020-07-17;4;50;169
Histoire de Parfums;1828 Jules Verne;2;4;3,9;1;2020-06-28;2020-07-15;2020-07-17;3;120;175
Histoire de Parfums;1725 Casanova;2;4;3,9;1;2020-06-28;2020-07-15;2020-07-17;2;120;175
